Timestamp	GPU Usage Percentage	GPU Total Mem Usage	GPU Total Mem Usage Percentage	Process Mem Usage
1627392761.235427	98	6092	76.35	
1627392762.2568872	98	6092	76.35	
1627392763.2711625	98	6092	76.35	
1627392764.2850862	98	6092	76.35	
1627392765.3017452	98	6092	76.35	
1627392766.3213563	98	6092	76.35	
1627392767.3359294	98	6092	76.35	
1627392768.351392	98	6092	76.35	
1627392769.3711448	98	6092	76.35	
1627392770.385866	98	6092	76.35	
1627392771.4010537	98	6092	76.35	
1627392772.4172537	98	6092	76.35	
1627392773.4320593	98	6092	76.35	
1627392774.446866	98	6092	76.35	
1627392775.462927	98	6092	76.35	
1627392776.477234	79	1180	14.79	
1627392777.491869	2	1556	19.5	
1627392778.506527	7	3000	37.6	
1627392779.5222096	39	6850	85.85	
1627392780.5369081	97	6850	85.85	
1627392781.5509572	100	1180	14.79	
1627392782.5720243	64	1180	14.79	
1627392783.5934181	0	1180	14.79	
1627392784.6082187	0	1180	14.79	
1627392785.625334	0	1574	19.73	
1627392786.6400056	8	7778	97.48	
1627392787.6607687	27	1180	14.79	
1627392788.676244	14	1180	14.79	
1627392789.6980472	0	1180	14.79	
1627392790.715719	0	1180	14.79	
1627392791.7318435	0	1180	14.79	
1627392792.746464	0	1328	16.64	
1627392793.7611244	2	1890	23.69	
1627392794.7820292	10	1180	14.79	
1627392795.8038778	45	1180	14.79	
1627392796.819997	0	1180	14.79	
1627392797.8359835	0	1490	18.67	
1627392798.8515513	5	2208	27.67	
1627392799.872154	13	1180	14.79	
1627392800.8875306	24	1180	14.79	
1627392801.9019518	0	1180	14.79	
1627392802.9166262	0	1712	21.46	
1627392803.9314282	40	7120	89.23	
1627392804.9504056	96	6850	85.85	
1627392805.9653585	100	6850	85.85	
1627392806.9802759	62	1180	14.79	
1627392808.0237634	0	1180	14.79	
1627392809.040448	6	1662	20.83	
1627392810.0555074	26	6092	76.35	
1627392811.0699096	98	6092	76.35	
1627392812.0847077	98	6092	76.35	
1627392813.1017249	98	6092	76.35	
1627392814.1193905	98	6092	76.35	
1627392815.1332173	98	6092	76.35	
1627392816.147704	98	6092	76.35	
1627392817.1635761	98	6092	76.35	
1627392818.1838255	98	6092	76.35	
1627392819.198113	98	6092	76.35	
1627392820.2129154	98	6092	76.35	
1627392821.229428	98	6092	76.35	
1627392822.247461	98	6092	76.35	
